workload,time_ms,peak_offset,avg_cpu,max_cpu,cpu_std,max_rss,mem_std,throughput,mem_efficiency,fragmentation,max_size,min_size,avg_size,num_buffers,capacity
A.cap1048576.csv,357020.1291000121,1035264,34.81558166521613,208.3,47.74353607609358,10108928.0,100453.94552948081,0.43134822786661403,0.9873046875,13312,656384,1024,97865.14285714286,154,1048576
B.cap1048576.csv,258216.63529999205,1046528,34.01044401005306,104.2,47.45786049737932,10199040.0,71527.95401030219,0.6583619208053604,0.998046875,2048,632832,1024,105128.65882352942,170,1048576
C.cap1048576.csv,45140.97989999573,1044480,34.152341786611835,104.2,47.50821450199077,10604544.0,232420.9257080604,4.497022449439987,0.99609375,4096,712704,1024,105794.83743842365,203,1048576
D.cap1048576.csv,189639.6883999987,1024000,34.09520443671161,208.3,47.49549999118144,11325440.0,266172.43640645064,1.1231826090682475,0.9765625,24576,211968,1024,34407.36150234742,213,1048576
E.cap1048576.csv,259731.44919998595,1030144,34.06672886065899,208.3,47.497409053867486,9580544.0,57781.2451531748,0.827778078712586,0.982421875,18432,604160,1024,118869.73023255814,215,1048576
F.cap1048576.csv,342764.6542000002,1008640,33.9551692011781,195.3,47.44877521112432,10579968.0,224995.7226891323,0.863566287751731,0.9619140625,39936,110592,32768,70711.35135135135,296,1048576
G.cap1048576.csv,69172.7596000128,1004544,34.249671641791046,208.3,47.56699092086146,10956800.0,252516.01392057535,4.452619814230211,0.9580078125,44032,121856,30720,67517.50649350649,308,1048576
H.cap1048576.csv,100006.79919999675,1012736,34.243166580711716,104.2,47.541025832033114,10973184.0,281410.91243021877,3.1597851598875115,0.9658203125,35840,117760,34816,65918.37974683545,316,1048576
I.cap1048576.csv,252026.07590000844,1046528,34.44128725843433,104.2,47.6049396799626,11546624.0,203153.57456958672,1.4839734287986328,0.998046875,2048,881664,1024,130625.71122994652,374,1048576
K.cap1048576.csv,45209.45909997681,1038336,34.76844649021865,104.2,47.74936377434501,10678272.0,184282.56961944047,10.042146246342346,0.990234375,10240,858112,1024,174021.35682819382,454,1048576
